meter_id,scheme_name,service_type,meter_number,meter_role,unit_number,location_description,parent_meter_id,hierarchy_level,reconciliation_group,is_active,start_date,end_date,source_confidence,verified_by,notes,source_reference
meter-azores-unit-az-14,Azores,electricity,AZ 14,unit,AZ 14,AZ 14,,1,scheme-azores,True,,,medium,,,The Azores:AZ 14
meter-azores-unit-az-15a,Azores,electricity,AZ 15A,unit,AZ 15A,AZ 15A,,1,scheme-azores,True,,,medium,,,The Azores:AZ 15A
meter-azores-unit-az-16a,Azores,electricity,AZ 16A,unit,AZ 16A,AZ 16A,,1,scheme-azores,True,,,medium,,,The Azores:AZ 16A
meter-azores-unit-az-17,Azores,electricity,AZ 17,unit,AZ 17,AZ 17,,1,scheme-azores,True,,,medium,,,The Azores:AZ 17
meter-azores-unit-az-18,Azores,electricity,AZ 18,unit,AZ 18,AZ 18,,1,scheme-azores,True,,,medium,,,The Azores:AZ 18
meter-azores-unit-az-19a,Azores,electricity,AZ 19A,unit,AZ 19A,AZ 19A,,1,scheme-azores,True,,,medium,,,The Azores:AZ 19A
meter-azores-unit-az-20,Azores,electricity,AZ 20,unit,AZ 20,AZ 20,,1,scheme-azores,True,,,medium,,,The Azores:AZ 20
meter-azores-unit-az-21,Azores,electricity,AZ 21,unit,AZ 21,AZ 21,,1,scheme-azores,True,,,medium,,,The Azores:AZ 21
meter-azores-unit-az-22,Azores,electricity,AZ 22,unit,AZ 22,AZ 22,,1,scheme-azores,True,,,medium,,,The Azores:AZ 22
meter-azores-unit-az-23,Azores,electricity,AZ 23,unit,AZ 23,AZ 23,,1,scheme-azores,True,,,medium,,,The Azores:AZ 23
meter-azores-unit-az-24,Azores,electricity,AZ 24,unit,AZ 24,AZ 24,,1,scheme-azores,True,,,medium,,,The Azores:AZ 24
meter-azores-unit-az-25,Azores,electricity,AZ 25,unit,AZ 25,AZ 25,,1,scheme-azores,True,,,medium,,,The Azores:AZ 25
meter-azores-unit-az-26a,Azores,electricity,AZ 26A,unit,AZ 26A,AZ 26A,,1,scheme-azores,True,,,medium,,,The Azores:AZ 26A
meter-azores-unit-az-27,Azores,electricity,AZ 27,unit,AZ 27,AZ 27,,1,scheme-azores,True,,,medium,,,The Azores:AZ 27
meter-azores-unit-az-28,Azores,electricity,AZ 28,unit,AZ 28,AZ 28,,1,scheme-azores,True,,,medium,,,The Azores:AZ 28
meter-azores-unit-az-29a,Azores,electricity,AZ 29A,unit,AZ 29A,AZ 29A,,1,scheme-azores,True,,,medium,,,The Azores:AZ 29A
meter-azores-unit-az-30a,Azores,electricity,AZ 30A,unit,AZ 30A,AZ 30A,,1,scheme-azores,True,,,medium,,,The Azores:AZ 30A
meter-azores-unit-az-31,Azores,electricity,AZ 31,unit,AZ 31,AZ 31,,1,scheme-azores,True,,,medium,,,The Azores:AZ 31
meter-azores-unit-az-32a,Azores,electricity,AZ 32A,unit,AZ 32A,AZ 32A,,1,scheme-azores,True,,,medium,,,The Azores:AZ 32A
meter-azores-unit-az-33,Azores,electricity,AZ 33,unit,AZ 33,AZ 33,,1,scheme-azores,True,,,medium,,,The Azores:AZ 33
meter-azores-unit-az-34,Azores,electricity,AZ 34,unit,AZ 34,AZ 34,,1,scheme-azores,True,,,medium,,,The Azores:AZ 34
meter-azores-unit-az-35a,Azores,electricity,AZ 35A,unit,AZ 35A,AZ 35A,,1,scheme-azores,True,,,medium,,,The Azores:AZ 35A
meter-azores-unit-az-36a,Azores,electricity,AZ 36A,unit,AZ 36A,AZ 36A,,1,scheme-azores,True,,,medium,,,The Azores:AZ 36A
meter-azores-unit-az-37-a,Azores,electricity,AZ 37 A,unit,AZ 37 A,AZ 37 A,,1,scheme-azores,True,,,medium,,,The Azores:AZ 37 A
meter-azores-unit-az-38,Azores,electricity,AZ 38,unit,AZ 38,AZ 38,,1,scheme-azores,True,,,medium,,,The Azores:AZ 38
meter-azores-unit-az-39,Azores,electricity,AZ 39,unit,AZ 39,AZ 39,,1,scheme-azores,True,,,medium,,,The Azores:AZ 39
meter-azores-unit-az-40,Azores,electricity,AZ 40,unit,AZ 40,AZ 40,,1,scheme-azores,True,,,medium,,,The Azores:AZ 40
meter-azores-unit-az-41a,Azores,electricity,AZ 41A,unit,AZ 41A,AZ 41A,,1,scheme-azores,True,,,medium,,,The Azores:AZ 41A
meter-azores-unit-az-42a,Azores,electricity,AZ 42A,unit,AZ 42A,AZ 42A,,1,scheme-azores,True,,,medium,,,The Azores:AZ 42A
meter-azores-unit-az-43,Azores,electricity,AZ 43,unit,AZ 43,AZ 43,,1,scheme-azores,True,,,medium,,,The Azores:AZ 43
meter-azores-unit-az-44,Azores,electricity,AZ 44,unit,AZ 44,AZ 44,,1,scheme-azores,True,,,medium,,,The Azores:AZ 44
meter-azores-unit-az-45,Azores,electricity,AZ 45,unit,AZ 45,AZ 45,,1,scheme-azores,True,,,medium,,,The Azores:AZ 45
meter-azores-unit-az-46,Azores,electricity,AZ 46,unit,AZ 46,AZ 46,,1,scheme-azores,True,,,medium,,,The Azores:AZ 46
meter-azores-unit-az-47,Azores,electricity,AZ 47,unit,AZ 47,AZ 47,,1,scheme-azores,True,,,medium,,,The Azores:AZ 47
meter-azores-unit-az-48,Azores,electricity,AZ 48,unit,AZ 48,AZ 48,,1,scheme-azores,True,,,medium,,,The Azores:AZ 48
meter-azores-unit-az-49,Azores,electricity,AZ 49,unit,AZ 49,AZ 49,,1,scheme-azores,True,,,medium,,,The Azores:AZ 49
meter-azores-unit-az-50,Azores,electricity,AZ 50,unit,AZ 50,AZ 50,,1,scheme-azores,True,,,medium,,,The Azores:AZ 50
meter-azores-unit-az-51,Azores,electricity,AZ 51,unit,AZ 51,AZ 51,,1,scheme-azores,True,,,medium,,,The Azores:AZ 51
meter-azores-unit-az-52,Azores,electricity,AZ 52,unit,AZ 52,AZ 52,,1,scheme-azores,True,,,medium,,,The Azores:AZ 52
meter-azores-unit-az-53,Azores,electricity,AZ 53,unit,AZ 53,AZ 53,,1,scheme-azores,True,,,medium,,,The Azores:AZ 53
meter-azores-unit-az-54,Azores,electricity,AZ 54,unit,AZ 54,AZ 54,,1,scheme-azores,True,,,medium,,,The Azores:AZ 54
meter-azores-unit-az-55,Azores,electricity,AZ 55,unit,AZ 55,AZ 55,,1,scheme-azores,True,,,medium,,,The Azores:AZ 55
meter-azores-unit-az-56,Azores,electricity,AZ 56,unit,AZ 56,AZ 56,,1,scheme-azores,True,,,medium,,,The Azores:AZ 56
meter-azores-unit-az-57,Azores,electricity,AZ 57,unit,AZ 57,AZ 57,,1,scheme-azores,True,,,medium,,,The Azores:AZ 57
meter-azores-unit-az-58,Azores,electricity,AZ 58,unit,AZ 58,AZ 58,,1,scheme-azores,True,,,medium,,,The Azores:AZ 58
meter-azores-unit-az-59,Azores,electricity,AZ 59,unit,AZ 59,AZ 59,,1,scheme-azores,True,,,medium,,,The Azores:AZ 59
meter-azores-unit-az-60a,Azores,electricity,AZ 60A,unit,AZ 60A,AZ 60A,,1,scheme-azores,True,,,medium,,,The Azores:AZ 60A
meter-azores-unit-az-61,Azores,electricity,AZ 61,unit,AZ 61,AZ 61,,1,scheme-azores,True,,,medium,,,The Azores:AZ 61
meter-azores-unit-az-62,Azores,electricity,AZ 62,unit,AZ 62,AZ 62,,1,scheme-azores,True,,,medium,,,The Azores:AZ 62
meter-azores-unit-az-63a,Azores,electricity,AZ 63A,unit,AZ 63A,AZ 63A,,1,scheme-azores,True,,,medium,,,The Azores:AZ 63A
meter-azores-unit-az-64,Azores,electricity,AZ 64,unit,AZ 64,AZ 64,,1,scheme-azores,True,,,medium,,,The Azores:AZ 64
meter-azores-unit-az-65,Azores,electricity,AZ 65,unit,AZ 65,AZ 65,,1,scheme-azores,True,,,medium,,,The Azores:AZ 65
meter-azores-unit-az-66,Azores,electricity,AZ 66,unit,AZ 66,AZ 66,,1,scheme-azores,True,,,medium,,,The Azores:AZ 66
meter-azores-unit-az-67,Azores,electricity,AZ 67,unit,AZ 67,AZ 67,,1,scheme-azores,True,,,medium,,,The Azores:AZ 67
meter-azores-unit-az-68,Azores,electricity,AZ 68,unit,AZ 68,AZ 68,,1,scheme-azores,True,,,medium,,,The Azores:AZ 68
meter-azores-unit-az-69,Azores,electricity,AZ 69,unit,AZ 69,AZ 69,,1,scheme-azores,True,,,medium,,,The Azores:AZ 69
meter-azores-unit-az-70,Azores,electricity,AZ 70,unit,AZ 70,AZ 70,,1,scheme-azores,True,,,medium,,,The Azores:AZ 70
meter-azores-unit-az-71a,Azores,electricity,AZ 71A,unit,AZ 71A,AZ 71A,,1,scheme-azores,True,,,medium,,,The Azores:AZ 71A
meter-azores-unit-az-72a,Azores,electricity,AZ 72A,unit,AZ 72A,AZ 72A,,1,scheme-azores,True,,,medium,,,The Azores:AZ 72A
meter-azores-bulk-bulk-1,Azores,electricity,Bulk 1,bulk,,Azores,,0,scheme-azores,True,,,medium,,,The Azores:Bulk 1
meter-genisis-on-fairmount-unit-gen-01,Genisis on Fairmount,electricity,GEN 01,unit,GEN 01,GEN 01,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 01
meter-genisis-on-fairmount-unit-gen-02,Genisis on Fairmount,electricity,GEN 02,unit,GEN 02,GEN 02,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 02
meter-genisis-on-fairmount-unit-gen-03,Genisis on Fairmount,electricity,GEN 03,unit,GEN 03,GEN 03,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 03
meter-genisis-on-fairmount-unit-gen-04,Genisis on Fairmount,electricity,GEN 04,unit,GEN 04,GEN 04,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 04
meter-genisis-on-fairmount-unit-gen-05,Genisis on Fairmount,electricity,GEN 05,unit,GEN 05,GEN 05,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 05
meter-genisis-on-fairmount-unit-gen-06,Genisis on Fairmount,electricity,GEN 06,unit,GEN 06,GEN 06,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 06
meter-genisis-on-fairmount-unit-gen-07,Genisis on Fairmount,electricity,GEN 07,unit,GEN 07,GEN 07,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 07
meter-genisis-on-fairmount-unit-gen-08,Genisis on Fairmount,electricity,GEN 08,unit,GEN 08,GEN 08,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 08
meter-genisis-on-fairmount-unit-gen-09,Genisis on Fairmount,electricity,GEN 09,unit,GEN 09,GEN 09,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 09
meter-genisis-on-fairmount-unit-gen-10,Genisis on Fairmount,electricity,GEN 10,unit,GEN 10,GEN 10,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 10
meter-genisis-on-fairmount-unit-gen-11,Genisis on Fairmount,electricity,GEN 11,unit,GEN 11,GEN 11,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 11
meter-genisis-on-fairmount-unit-gen-12,Genisis on Fairmount,electricity,GEN 12,unit,GEN 12,GEN 12,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 12
meter-genisis-on-fairmount-unit-gen-13,Genisis on Fairmount,electricity,GEN 13,unit,GEN 13,GEN 13,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 13
meter-genisis-on-fairmount-unit-gen-14,Genisis on Fairmount,electricity,GEN 14,unit,GEN 14,GEN 14,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 14
meter-genisis-on-fairmount-unit-gen-15,Genisis on Fairmount,electricity,GEN 15,unit,GEN 15,GEN 15,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 15
meter-genisis-on-fairmount-unit-gen-16,Genisis on Fairmount,electricity,GEN 16,unit,GEN 16,GEN 16,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 16
meter-genisis-on-fairmount-unit-gen-17,Genisis on Fairmount,electricity,GEN 17,unit,GEN 17,GEN 17,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 17
meter-genisis-on-fairmount-unit-gen-18,Genisis on Fairmount,electricity,GEN 18,unit,GEN 18,GEN 18,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 18
meter-genisis-on-fairmount-unit-gen-19,Genisis on Fairmount,electricity,GEN 19,unit,GEN 19,GEN 19,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 19
meter-genisis-on-fairmount-unit-gen-20,Genisis on Fairmount,electricity,GEN 20,unit,GEN 20,GEN 20,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 20
meter-genisis-on-fairmount-unit-gen-21,Genisis on Fairmount,electricity,GEN 21,unit,GEN 21,GEN 21,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 21
meter-genisis-on-fairmount-unit-gen-22,Genisis on Fairmount,electricity,GEN 22,unit,GEN 22,GEN 22,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 22
meter-genisis-on-fairmount-unit-gen-23,Genisis on Fairmount,electricity,GEN 23,unit,GEN 23,GEN 23,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 23
meter-genisis-on-fairmount-unit-gen-24,Genisis on Fairmount,electricity,GEN 24,unit,GEN 24,GEN 24,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 24
meter-genisis-on-fairmount-unit-gen-25,Genisis on Fairmount,electricity,GEN 25,unit,GEN 25,GEN 25,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 25
meter-genisis-on-fairmount-unit-gen-26,Genisis on Fairmount,electricity,GEN 26,unit,GEN 26,GEN 26,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 26
meter-genisis-on-fairmount-unit-gen-27,Genisis on Fairmount,electricity,GEN 27,unit,GEN 27,GEN 27,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 27
meter-genisis-on-fairmount-unit-gen-28,Genisis on Fairmount,electricity,GEN 28,unit,GEN 28,GEN 28,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 28
meter-genisis-on-fairmount-unit-gen-29,Genisis on Fairmount,electricity,GEN 29,unit,GEN 29,GEN 29,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 29
meter-genisis-on-fairmount-unit-gen-30,Genisis on Fairmount,electricity,GEN 30,unit,GEN 30,GEN 30,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 30
meter-genisis-on-fairmount-unit-gen-31,Genisis on Fairmount,electricity,GEN 31,unit,GEN 31,GEN 31,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 31
meter-genisis-on-fairmount-unit-gen-32,Genisis on Fairmount,electricity,GEN 32,unit,GEN 32,GEN 32,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 32
meter-genisis-on-fairmount-unit-gen-33,Genisis on Fairmount,electricity,GEN 33,unit,GEN 33,GEN 33,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 33
meter-genisis-on-fairmount-unit-gen-34,Genisis on Fairmount,electricity,GEN 34,unit,GEN 34,GEN 34,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 34
meter-genisis-on-fairmount-unit-gen-35,Genisis on Fairmount,electricity,GEN 35,unit,GEN 35,GEN 35,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 35
meter-genisis-on-fairmount-unit-gen-36,Genisis on Fairmount,electricity,GEN 36,unit,GEN 36,GEN 36,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 36
meter-genisis-on-fairmount-unit-gen-37,Genisis on Fairmount,electricity,GEN 37,unit,GEN 37,GEN 37,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 37
meter-genisis-on-fairmount-unit-gen-38,Genisis on Fairmount,electricity,GEN 38,unit,GEN 38,GEN 38,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 38
meter-genisis-on-fairmount-unit-gen-39,Genisis on Fairmount,electricity,GEN 39,unit,GEN 39,GEN 39,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 39
meter-genisis-on-fairmount-unit-gen-40,Genisis on Fairmount,electricity,GEN 40,unit,GEN 40,GEN 40,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 40
meter-genisis-on-fairmount-unit-gen-41,Genisis on Fairmount,electricity,GEN 41,unit,GEN 41,GEN 41,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 41
meter-genisis-on-fairmount-unit-gen-42,Genisis on Fairmount,electricity,GEN 42,unit,GEN 42,GEN 42,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 42
meter-genisis-on-fairmount-unit-gen-43,Genisis on Fairmount,electricity,GEN 43,unit,GEN 43,GEN 43,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 43
meter-genisis-on-fairmount-unit-gen-44,Genisis on Fairmount,electricity,GEN 44,unit,GEN 44,GEN 44,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 44
meter-genisis-on-fairmount-unit-gen-45,Genisis on Fairmount,electricity,GEN 45,unit,GEN 45,GEN 45,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 45
meter-genisis-on-fairmount-unit-gen-46,Genisis on Fairmount,electricity,GEN 46,unit,GEN 46,GEN 46,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 46
meter-genisis-on-fairmount-unit-gen-47,Genisis on Fairmount,electricity,GEN 47,unit,GEN 47,GEN 47,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 47
meter-genisis-on-fairmount-unit-gen-48,Genisis on Fairmount,electricity,GEN 48,unit,GEN 48,GEN 48,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 48
meter-genisis-on-fairmount-unit-gen-49,Genisis on Fairmount,electricity,GEN 49,unit,GEN 49,GEN 49,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 49
meter-genisis-on-fairmount-unit-gen-50,Genisis on Fairmount,electricity,GEN 50,unit,GEN 50,GEN 50,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 50
meter-genisis-on-fairmount-unit-gen-51,Genisis on Fairmount,electricity,GEN 51,unit,GEN 51,GEN 51,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 51
meter-genisis-on-fairmount-unit-gen-52,Genisis on Fairmount,electricity,GEN 52,unit,GEN 52,GEN 52,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 52
meter-genisis-on-fairmount-unit-gen-53,Genisis on Fairmount,electricity,GEN 53,unit,GEN 53,GEN 53,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 53
meter-genisis-on-fairmount-unit-gen-54,Genisis on Fairmount,electricity,GEN 54,unit,GEN 54,GEN 54,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 54
meter-genisis-on-fairmount-unit-gen-55,Genisis on Fairmount,electricity,GEN 55,unit,GEN 55,GEN 55,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 55
meter-genisis-on-fairmount-unit-gen-56,Genisis on Fairmount,electricity,GEN 56,unit,GEN 56,GEN 56,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 56
meter-genisis-on-fairmount-unit-gen-57,Genisis on Fairmount,electricity,GEN 57,unit,GEN 57,GEN 57,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 57
meter-genisis-on-fairmount-unit-gen-58,Genisis on Fairmount,electricity,GEN 58,unit,GEN 58,GEN 58,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 58
meter-genisis-on-fairmount-unit-gen-59,Genisis on Fairmount,electricity,GEN 59,unit,GEN 59,GEN 59,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 59
meter-genisis-on-fairmount-unit-gen-60,Genisis on Fairmount,electricity,GEN 60,unit,GEN 60,GEN 60,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 60
meter-genisis-on-fairmount-unit-gen-61,Genisis on Fairmount,electricity,GEN 61,unit,GEN 61,GEN 61,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 61
meter-genisis-on-fairmount-unit-gen-62,Genisis on Fairmount,electricity,GEN 62,unit,GEN 62,GEN 62,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 62
meter-genisis-on-fairmount-unit-gen-63,Genisis on Fairmount,electricity,GEN 63,unit,GEN 63,GEN 63,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:GEN 63
meter-genisis-on-fairmount-bulk-bulk-1,Genisis on Fairmount,electricity,Bulk 1,bulk,,Genisis on Fairmount,,0,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:Bulk 1
meter-genisis-on-fairmount-common-com-1,Genisis on Fairmount,electricity,Com 1,common_property,,Genisis on Fairmount,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:Com 1
meter-genisis-on-fairmount-common-com-2,Genisis on Fairmount,electricity,Com 2,common_property,,Genisis on Fairmount,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:Com 2
meter-genisis-on-fairmount-common-com-3,Genisis on Fairmount,electricity,Com 3,common_property,,Genisis on Fairmount,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:Com 3
meter-genisis-on-fairmount-common-com-4,Genisis on Fairmount,electricity,Com 4,common_property,,Genisis on Fairmount,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:Com 4
meter-genisis-on-fairmount-common-com-5,Genisis on Fairmount,electricity,Com 5,common_property,,Genisis on Fairmount,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:Com 5
meter-genisis-on-fairmount-common-com-6,Genisis on Fairmount,electricity,Com 6,common_property,,Genisis on Fairmount,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:Com 6
meter-genisis-on-fairmount-common-com-7,Genisis on Fairmount,electricity,Com 7,common_property,,Genisis on Fairmount,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:Com 7
meter-genisis-on-fairmount-common-com-8,Genisis on Fairmount,electricity,Com 8,common_property,,Genisis on Fairmount,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:Com 8
meter-genisis-on-fairmount-common-com-9,Genisis on Fairmount,electricity,Com 9,common_property,,Genisis on Fairmount,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:Com 9
meter-genisis-on-fairmount-common-com-10,Genisis on Fairmount,electricity,Com 10,common_property,,Genisis on Fairmount,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:Com 10
meter-genisis-on-fairmount-common-com-11,Genisis on Fairmount,electricity,Com 11,common_property,,Genisis on Fairmount,,1,scheme-genisis-on-fairmount,True,,,medium,,,Genesis:Com 11
meter-carissa-lane-unit-cl-01,Carissa Lane,electricity,CL 01,unit,CL 01,CL 01,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 01
meter-carissa-lane-unit-cl-02,Carissa Lane,electricity,CL 02,unit,CL 02,CL 02,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 02
meter-carissa-lane-unit-cl-03,Carissa Lane,electricity,CL 03,unit,CL 03,CL 03,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 03
meter-carissa-lane-unit-cl-04,Carissa Lane,electricity,CL 04,unit,CL 04,CL 04,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 04
meter-carissa-lane-unit-cl-05a,Carissa Lane,electricity,CL 05A,unit,CL 05A,CL 05A,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 05A
meter-carissa-lane-unit-cl-06a,Carissa Lane,electricity,CL 06A,unit,CL 06A,CL 06A,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 06A
meter-carissa-lane-unit-cl-07,Carissa Lane,electricity,CL 07,unit,CL 07,CL 07,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 07
meter-carissa-lane-unit-cl-08a,Carissa Lane,electricity,CL 08A,unit,CL 08A,CL 08A,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 08A
meter-carissa-lane-unit-cl-09,Carissa Lane,electricity,CL 09,unit,CL 09,CL 09,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 09
meter-carissa-lane-unit-cl-10,Carissa Lane,electricity,CL 10,unit,CL 10,CL 10,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 10
meter-carissa-lane-unit-cl-11,Carissa Lane,electricity,CL 11,unit,CL 11,CL 11,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 11
meter-carissa-lane-unit-cl-12,Carissa Lane,electricity,CL 12,unit,CL 12,CL 12,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 12
meter-carissa-lane-unit-cl-13b,Carissa Lane,electricity,CL 13B,unit,CL 13B,CL 13B,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 13B
meter-carissa-lane-unit-cl-14,Carissa Lane,electricity,CL 14,unit,CL 14,CL 14,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 14
meter-carissa-lane-unit-cl-15,Carissa Lane,electricity,CL 15,unit,CL 15,CL 15,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 15
